series number,product type,model,repair operation number,previous repair operation number,time since previous repair,censored,age after repair,Component A,Component B,Component C,Component D,Component E,Component F,Component H,Component I,Component J,Component K
sn_007043,product A,V1E1,po_011994,MFG,6306,0,6306,0,0,0,0,1,0,0,0,0,0
sn_007043,product A,V1E2,po_011995,po_011994,4946,0,11202,0,0,0,0,1,0,0,0,0,0
sn_007043,product A,V1E2,po_011996,po_011995,4454,1,15606,0,0,0,0,0,0,0,0,0,0
sn_007044,product B,V2E3,po_011997,MFG,2798,1,2798,0,0,0,0,0,0,0,0,0,0
sn_007045,product A,V1E1,po_011998,MFG,5342,0,5342,1,0,1,0,1,0,0,0,0,0
sn_007045,product A,V1E2,po_011999,po_011998,10378,1,15670,0,0,0,0,0,0,0,0,0,0
sn_007046,product A,V1E1,po_012000,MFG,15670,1,15670,0,0,0,0,0,0,0,0,0,0
sn_007047,product A,V1E1,po_012001,MFG,5246,0,5246,0,0,0,0,1,0,0,0,0,0
sn_007047,product A,V1E2,po_012002,po_012001,7078,0,12274,0,0,0,0,1,0,0,0,0,0
sn_007047,product A,V1E3,po_012003,po_012002,3386,1,15610,0,0,0,0,0,0,0,0,0,0
sn_007048,product A,V1E1,po_012004,MFG,15670,1,15670,0,0,0,0,0,0,0,0,0,0
sn_007049,product A,V1E1,po_012005,MFG,6262,0,6262,0,0,0,0,0,1,0,0,0,0
sn_007049,product A,V1E1,po_012006,po_012005,6226,0,12438,0,0,0,0,1,0,0,0,0,0
sn_007049,product A,V1E3,po_012007,po_012006,3226,1,15614,0,0,0,0,0,0,0,0,0,0
sn_007050,product A,V1E1,po_012008,MFG,5902,0,5902,0,0,0,0,0,1,0,0,0,0
sn_007050,product A,V1E1,po_012009,po_012008,4190,0,10042,0,0,0,0,1,0,0,0,0,0
sn_007050,product A,V1E2,po_012010,po_012009,5030,0,15022,0,1,0,0,1,0,0,0,0,0
sn_007050,product A,V1E3,po_012011,po_012010,642,1,15614,0,0,0,0,0,0,0,0,0,0
sn_007051,product A,V1E1,po_012012,MFG,15670,1,15670,0,0,0,0,0,0,0,0,0,0
sn_007052,product A,V1E1,po_012013,MFG,15654,1,15654,0,0,0,0,0,0,0,0,0,0
sn_007053,product A,V1E1,po_012014,MFG,5466,0,5466,0,0,0,0,1,0,0,0,0,0
sn_007053,product A,V1E2,po_012015,po_012014,10238,1,15654,0,0,0,0,0,0,0,0,0,0
sn_007054,product A,V1E1,po_012016,MFG,7198,0,7198,1,0,0,0,1,0,0,0,0,0
sn_007054,product A,V1E2,po_012017,po_012016,4418,0,11566,0,0,0,0,1,0,0,0,0,0
sn_007054,product A,V1E2,po_012018,po_012017,4066,1,15582,0,0,0,0,0,0,0,0,0,0
sn_007055,product A,V1E1,po_012019,MFG,3306,0,3306,0,0,0,0,1,0,0,0,0,0
sn_007055,product A,V1E1,po_012020,po_012019,3498,0,6754,0,0,0,0,1,0,0,0,0,0
sn_007055,product A,V1E2,po_012021,po_012020,5242,0,11946,0,0,0,0,1,0,0,0,0,0
sn_007055,product A,V1E2,po_012022,po_012021,3658,1,15554,0,0,0,0,0,0,0,0,0,0
sn_007056,product A,V1E1,po_012023,MFG,15654,1,15654,0,0,0,0,0,0,0,0,0,0
sn_007057,product A,V1E1,po_012024,MFG,7770,0,7770,0,1,0,0,1,0,0,0,0,0
sn_007057,product A,V1E2,po_012025,po_012024,5566,0,13286,0,0,0,0,1,0,0,0,0,0
sn_007057,product A,V1E3,po_012026,po_012025,1298,0,14534,0,0,0,0,0,0,0,0,0,1
sn_007057,product A,V1E3,po_012027,po_012026,1042,1,15526,0,0,0,0,0,0,0,0,0,0
sn_007058,product A,V1E1,po_012028,MFG,6594,0,6594,0,0,0,0,0,1,0,0,0,0
sn_007058,product A,V1E1,po_012029,po_012028,4590,0,11134,0,0,0,1,1,0,0,0,0,0
